Common,,,TimesFM,,,TimesFM + LoRA,,,,
data,cl,hl,mae_scl_base,mse_scl_base,inf_time_base,mae_scl_lora,mse_scl_lora,tr_time,inf_time_lora,tr_params_ratio
Etth1,96,96,0.229,0.099,10.26,0.333,0.193,1451.22,4.58,0.0013
,,192,0.299,0.164,9.99,0.350,0.208,1436.06,2.47,
,,336,0.257,0.113,8.75,0.314,0.167,1420.25,1.39,
,,720,0.328,0.181,8.52,0.354,0.205,1393.87,0.70,
Etth2,96,96,0.350,0.221,9.95,0.672,0.783,1476.19,5.00,0.0013
,,192,0.428,0.324,10.03,0.669,0.731,1462.93,2.49,
,,336,0.420,0.279,8.58,0.636,0.693,1448.91,1.43,
,,720,0.535,0.499,8.81,0.657,0.703,1406.04,0.72,
Ettm1,96,96,0.164,0.051,40.23,0.214,0.082,5979.18,19.43,0.0013
,,192,0.216,0.084,40.54,0.236,0.103,5935.99,9.37,
,,336,0.249,0.105,34.45,0.273,0.133,5845.22,5.53,
,,720,0.288,0.144,33.12,0.298,0.153,5805.54,2.69,
Ettm2,96,96,0.382,0.301,40.59,0.456,0.326,5901.08,19.06,0.0013
,,192,0.418,0.334,39.13,0.477,0.367,5894.09,9.66,
,,336,0.505,0.482,34.68,0.528,0.475,5861.63,5.52,
,,720,0.699,1.009,32.13,0.554,0.534,5815.33,2.64,
Electricity,96,96,0.490,0.480,15.40,1.251,2.750,2218.56,7.22,0.0013
,,192,0.422,0.363,15.80,1.190,2.518,2193.67,3.68,
,,336,0.440,0.366,13.51,1.180,2.472,2173.46,2.03,
,,720,0.463,0.412,12.18,1.167,2.437,2127.48,0.97,
Exchange,96,96,0.229,0.083,4.42,0.318,0.174,619.53,2.11,0.0013
,,192,0.332,0.174,4.46,0.378,0.225,606.96,1.06,
,,336,0.411,0.302,3.91,0.426,0.313,589.45,0.61,
,,720,0.795,0.966,4.24,0.810,1.008,543.31,0.36,
Solar,96,96,0.627,1.212,30.86,1.215,2.115,4430.92,14.18,0.0013
,,192,0.637,1.241,30.75,1.219,2.102,4458.05,7.30,
,,336,0.643,1.232,25.66,1.216,2.112,4418.87,4.12,
,,720,0.674,1.241,24.29,1.308,3.015,4392.34,1.94,
