data,method,cl,hl,mae,mse,wape,smape,inf_time,mae_scl,mse_scl,wape_scl,smape_scl
Etth1,TimesFM,96,96,1.9137,6.8742,29.55,43.52,10.039756536483765,0.2292,0.0986,19.33,23.44
Etth1,TimesFM,96,192,2.4917,11.441,38.47,51.36,9.492967128753662,0.2985,0.1642,25.16,30.41
Etth1,TimesFM,96,336,2.1459,7.8906,33.13,42.85,8.744171380996704,0.257,0.1132,21.67,25.47
Etth1,TimesFM,96,720,2.734,12.5955,42.21,49.73,8.540382385253906,0.3275,0.1807,27.61,32.56
Etth2,TimesFM,96,96,3.9907,28.7299,18.59,23.61,10.074779272079468,0.35,0.2209,34.66,59.93
Etth2,TimesFM,96,192,4.8798,42.188,22.73,29.47,10.326300382614136,0.4279,0.3244,42.39,66.25
Etth2,TimesFM,96,336,4.7938,36.2831,22.33,30.12,8.736238956451416,0.4204,0.279,41.64,71.74
Etth2,TimesFM,96,720,6.0987,64.894,28.41,35.93,8.342334747314453,0.5348,0.499,52.97,66.64
Ettm1,TimesFM,96,96,1.3696,3.5232,21.15,31.36,40.12543725967407,0.1641,0.0506,13.83,17.5
Ettm1,TimesFM,96,192,1.7986,5.8431,27.78,38.06,38.54072093963623,0.2155,0.0839,18.17,22.08
Ettm1,TimesFM,96,336,2.0772,7.2786,32.08,41.16,33.86102628707886,0.2489,0.1045,20.98,25.52
Ettm1,TimesFM,96,720,2.4069,10.043,37.17,52.58,32.17116165161133,0.2884,0.1442,24.31,27.55
Ettm2,TimesFM,96,96,4.354,39.1343,20.28,26.61,38.87452745437622,0.3819,0.3011,37.82,60.97
Ettm2,TimesFM,96,192,4.7646,43.4246,22.2,29.67,38.39073705673218,0.4179,0.3341,41.38,66.36
Ettm2,TimesFM,96,336,5.7624,62.5982,26.84,31.96,34.38042116165161,0.5054,0.4816,50.05,70.91
Ettm2,TimesFM,96,720,7.9656,131.1032,37.11,39.82,31.232993125915527,0.6987,1.0087,69.18,85.44
